

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
751.168  000.977  000.977: sourcing /usr/local/share/vim/vim74/plugin/logiPat.vim
752.312  000.809  000.809: sourcing /usr/local/share/vim/vim74/plugin/matchparen.vim
754.536  001.897  001.897: sourcing /usr/local/share/vim/vim74/plugin/netrwPlugin.vim
755.069  000.114  000.114: sourcing /usr/local/share/vim/vim74/plugin/rrhelper.vim
755.573  000.159  000.159: sourcing /usr/local/share/vim/vim74/plugin/spellfile.vim
756.451  000.531  000.531: sourcing /usr/local/share/vim/vim74/plugin/tarPlugin.vim
757.412  000.610  000.610: sourcing /usr/local/share/vim/vim74/plugin/tohtml.vim
758.137  000.368  000.368: sourcing /usr/local/share/vim/vim74/plugin/vimballPlugin.vim
758.939  000.452  000.452: sourcing /usr/local/share/vim/vim74/plugin/zipPlugin.vim
762.716  001.037  001.037: sourcing /Users/nissassin17/.vim/bundle/tabular/autoload/tabular.vim
765.929  005.472  004.435: sourcing /Users/nissassin17/.vim/bundle/tabular/after/plugin/TabularMaps.vim
767.023  000.378  000.378: sourcing /Users/nissassin17/.vim/bundle/ultisnips/after/plugin/UltiSnips_after.vim
771.185  002.791  002.791: sourcing /Users/nissassin17/.vim/bundle/tabular/after/plugin/TabularMaps.vim
771.413  000.015  000.015: sourcing /Users/nissassin17/.vim/bundle/ultisnips/after/plugin/UltiSnips_after.vim
771.947  068.477: loading plugins
771.954  000.007: inits 3
773.575  001.621: reading viminfo
773.624  000.049: setting raw mode
773.634  000.010: start termcap
773.697  000.063: clearing screen
995.661  215.416  215.416: sourcing /Users/nissassin17/.vim/bundle/ultisnips/autoload/UltiSnips.vim
1009.034  000.330  000.330: sourcing /usr/local/share/vim/vim74/ftplugin/c.vim
1021.713  018.818  018.488: sourcing /usr/local/share/vim/vim74/ftplugin/cpp.vim
1033.027  000.202  000.202: sourcing /usr/local/share/vim/vim74/indent/cpp.vim
1048.515  005.760  005.760: sourcing /usr/local/share/vim/vim74/syntax/c.vim
1050.538  010.755  004.995: sourcing /usr/local/share/vim/vim74/syntax/cpp.vim
1058.524  001.132  001.132: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions.vim
1060.354  000.259  000.259: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/quickfix.vim
1061.580  000.270  000.270: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/netrw.vim
1062.865  000.363  000.363: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/ctrlp.vim
1064.046  000.232  000.232: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/undotree.vim
1065.633  000.294  000.294: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/hunks.vim
1066.626  000.231  000.231: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/tagbar.vim
1068.111  000.705  000.705: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/branch.vim
1069.184  000.181  000.181: sourcing /Users/nissassin17/.vim/bundle/vim-airline/autoload/airline/extensions/bufferline.vim
